group,features,instance,state,selected_action,fixed_action,selected_utility,fixed_utility,random_utility,hindsight_oracle_utility,prediction_seconds
S,cross,Mk02,Mk02-33-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0004869487505424358,0.0001492974071377884,0.0005463261809570065,0.0005155999999715277
S,simple,Mk04,Mk04-11-0,0.5-N3-b4,0.5-N3-b4,0.0002132193810212039,0.0002132193810212039,0.0002223304790364496,0.0015487697247253355,0.00032759999999143474
S,cross,Mk04,Mk04-11-0,0.5-N5-b4,0.5-N3-b4,0.0008124244237274227,0.0002132193810212039,0.0002223304790364496,0.0015487697247253355,0.0005148000000190223
S,simple,Mk04,Mk04-11-1,0.25-N5-b4,0.5-N3-b4,0.0013348134053098655,0.0017569712897464373,0.000500798989836125,0.0018377243490529942,0.0003071000001000357
S,cross,Mk04,Mk04-11-1,0.5-N5-b4,0.5-N3-b4,0.0009434313129640765,0.0017569712897464373,0.000500798989836125,0.0018377243490529942,0.0004885999999260093
S,simple,Mk04,Mk04-11-2,0.5-N3-b4,0.5-N3-b4,0.00016584081864964785,0.00016584081864964785,5.296332313223568e-05,0.00036830002408355547,0.00031619999981558067
S,cross,Mk04,Mk04-11-2,0.25-N2-b4,0.5-N3-b4,0.0,0.00016584081864964785,5.296332313223568e-05,0.00036830002408355547,0.0004863999999997759
S,simple,Mk04,Mk04-22-0,0.25-N5-b4,0.5-N3-b4,0.0,8.100719652051635e-05,0.00019493517286459504,0.0011603344079037282,0.0003108000000793254
S,cross,Mk04,Mk04-22-0,0.5-N3-b4,0.5-N3-b4,8.100719652051635e-05,8.100719652051635e-05,0.00019493517286459504,0.0011603344079037282,0.0004647000000659318
S,simple,Mk04,Mk04-22-1,0.25-N5-b4,0.5-N3-b4,0.0020659105086917517,0.0023206688158074564,0.00039646300025084617,0.0023206688158074564,0.00028959999986000184
S,cross,Mk04,Mk04-22-1,0.5-N3-b4,0.5-N3-b4,0.0023206688158074564,0.0023206688158074564,0.00039646300025084617,0.0023206688158074564,0.0005169999999452557
S,simple,Mk04,Mk04-22-2,0.25-N6-b4,0.5-N3-b4,0.0,1.328868395933879e-05,0.00023196178468306945,0.0013909131217251709,0.00029739999990852084
S,cross,Mk04,Mk04-22-2,0.5-N3-b4,0.5-N3-b4,1.328868395933879e-05,1.328868395933879e-05,0.00023196178468306945,0.0013909131217251709,0.00046950000000833825
S,simple,Mk04,Mk04-33-0,0.25-N5-b4,0.5-N3-b4,0.001771955616706628,0.0023231464974737062,0.0004831929173416179,0.0023231464974737062,0.0002769000000171218
S,cross,Mk04,Mk04-33-0,0.5-N5-b4,0.5-N3-b4,0.0003304907671249958,0.0023231464974737062,0.0004831929173416179,0.0023231464974737062,0.0004417000000103144
S,simple,Mk04,Mk04-33-1,0.25-N2-b4,0.5-N3-b4,0.0,0.001478935928113512,0.00041419830175821846,0.0015904863640665802,0.0002913999999236694
S,cross,Mk04,Mk04-33-1,0.5-N5-b4,0.5-N3-b4,0.0015904863640665802,0.001478935928113512,0.00041419830175821846,0.0015904863640665802,0.0005323000000316824
